Date,Time,Temperature_F
2025-01-10,06:00 AM,32
2025-01-10,07:00 AM,31
2025-01-10,08:00 AM,31
2025-01-10,09:00 AM,32
2025-01-10,10:00 AM,32
2025-01-10,11:00 AM,33
2025-01-10,12:00 PM,34
2025-01-10,01:00 PM,35
2025-01-10,02:00 PM,35
2025-01-10,03:00 PM,36
2025-01-10,04:00 PM,37
2025-01-10,05:00 PM,38
2025-01-10,06:00 PM,38
2025-01-10,07:00 PM,37
2025-01-10,08:00 PM,36
2025-01-10,09:00 PM,36
2025-01-10,10:00 PM,34
2025-01-10,11:00 PM,33
2025-01-11,12:00 AM,33
2025-01-11,01:00 AM,31
2025-01-11,02:00 AM,28
2025-01-11,03:00 AM,28
2025-01-11,04:00 AM,27
2025-01-11,05:00 AM,27
2025-01-11,06:00 AM,27
2025-01-11,07:00 AM,24
2025-01-11,08:00 AM,25
2025-01-11,09:00 AM,27
2025-01-11,10:00 AM,32
2025-01-11,11:00 AM,37
2025-01-11,12:00 PM,43
2025-01-11,01:00 PM,47
2025-01-11,02:00 PM,51
2025-01-11,03:00 PM,54
2025-01-11,04:00 PM,54
2025-01-11,05:00 PM,54
2025-01-11,06:00 PM,52
2025-01-11,07:00 PM,50
2025-01-11,08:00 PM,49
2025-01-11,09:00 PM,48
2025-01-11,10:00 PM,48
2025-01-11,11:00 PM,46
2025-01-12,12:00 AM,45
2025-01-12,01:00 AM,44
2025-01-12,02:00 AM,43
2025-01-12,03:00 AM,42
2025-01-12,04:00 AM,40
2025-01-12,05:00 AM,40
2025-01-12,06:00 AM,40
2025-01-12,07:00 AM,37
2025-01-12,08:00 AM,35
2025-01-12,09:00 AM,35
2025-01-12,10:00 AM,40
2025-01-12,11:00 AM,42
2025-01-12,12:00 PM,45
2025-01-12,01:00 PM,49
2025-01-12,02:00 PM,50
2025-01-12,03:00 PM,52
2025-01-12,04:00 PM,51
2025-01-12,05:00 PM,52
2025-01-12,06:00 PM,50
2025-01-12,07:00 PM,46
2025-01-12,08:00 PM,44
2025-01-12,09:00 PM,43
2025-01-12,10:00 PM,41
2025-01-12,11:00 PM,42
2025-01-13,12:00 AM,42
2025-01-13,01:00 AM,40
2025-01-13,02:00 AM,39
2025-01-13,03:00 AM,39
2025-01-13,04:00 AM,37
2025-01-13,05:00 AM,34
2025-01-13,06:00 AM,33
2025-01-13,07:00 AM,31
2025-01-13,08:00 AM,30
2025-01-13,09:00 AM,30
2025-01-13,10:00 AM,35
2025-01-13,11:00 AM,37
2025-01-13,12:00 PM,41
2025-01-13,01:00 PM,44
2025-01-13,02:00 PM,46
2025-01-13,03:00 PM,49
2025-01-13,04:00 PM,51
2025-01-13,05:00 PM,51
2025-01-13,06:00 PM,49
2025-01-13,07:00 PM,44
2025-01-13,08:00 PM,40
2025-01-13,09:00 PM,41
2025-01-13,10:00 PM,41
2025-01-13,11:00 PM,39
2025-01-14,12:00 AM,39
2025-01-14,01:00 AM,37
2025-01-14,02:00 AM,38
2025-01-14,03:00 AM,35
2025-01-14,04:00 AM,34
2025-01-14,05:00 AM,34
2025-01-14,06:00 AM,31
2025-01-14,07:00 AM,30
2025-01-14,08:00 AM,31
2025-01-14,09:00 AM,31
2025-01-14,10:00 AM,37
2025-01-14,11:00 AM,43
2025-01-14,12:00 PM,47
2025-01-14,01:00 PM,50
2025-01-14,02:00 PM,53
2025-01-14,03:00 PM,54
2025-01-14,04:00 PM,54
2025-01-14,05:00 PM,56
2025-01-14,06:00 PM,55
2025-01-14,07:00 PM,51
2025-01-14,08:00 PM,48
2025-01-14,09:00 PM,47
2025-01-14,10:00 PM,44
2025-01-14,11:00 PM,43
2025-01-15,12:00 AM,41
2025-01-15,01:00 AM,39
2025-01-15,02:00 AM,37
2025-01-15,03:00 AM,37
2025-01-15,04:00 AM,37
2025-01-15,05:00 AM,37
2025-01-15,06:00 AM,34
2025-01-15,07:00 AM,34
2025-01-15,08:00 AM,33
2025-01-15,09:00 AM,35
2025-01-15,10:00 AM,41
2025-01-15,11:00 AM,46
2025-01-15,12:00 PM,50
2025-01-15,01:00 PM,53
2025-01-15,02:00 PM,56
2025-01-15,03:00 PM,59
2025-01-15,04:00 PM,61
2025-01-15,05:00 PM,60
2025-01-15,06:00 PM,58
2025-01-15,07:00 PM,52
2025-01-15,08:00 PM,50
2025-01-15,09:00 PM,48
2025-01-15,10:00 PM,47
2025-01-15,11:00 PM,46
2025-01-16,12:00 AM,45
2025-01-16,01:00 AM,42
2025-01-16,02:00 AM,38
2025-01-16,03:00 AM,38
2025-01-16,04:00 AM,35
2025-01-16,05:00 AM,36
2025-01-16,06:00 AM,36
2025-01-16,07:00 AM,36
2025-01-16,08:00 AM,35
2025-01-16,09:00 AM,38
2025-01-16,10:00 AM,42
2025-01-16,11:00 AM,47
2025-01-16,12:00 PM,53
2025-01-16,01:00 PM,56
2025-01-16,02:00 PM,60
2025-01-16,03:00 PM,62
2025-01-16,04:00 PM,62
2025-01-16,05:00 PM,62
2025-01-16,06:00 PM,60
2025-01-16,07:00 PM,56
2025-01-16,08:00 PM,53
2025-01-16,09:00 PM,50
2025-01-16,10:00 PM,48
2025-01-16,11:00 PM,46
2025-01-17,12:00 AM,44
2025-01-17,01:00 AM,42
2025-01-17,02:00 AM,42
2025-01-17,03:00 AM,46
2025-01-17,04:00 AM,44
2025-01-17,05:00 AM,45
2025-01-17,06:00 AM,45
2025-01-17,07:00 AM,46
